Label	Pop	cluster_relabeled	mean_prob
LHARD32	4	2	0.527
LHARD32	4	3	0.345
LHARD32	4	1	0.1278
LHARD33	4	2	0.3626
LHARD33	4	3	0.498
LHARD33	4	1	0.14
LHARD34	4	2	0.455
LHARD34	4	3	0.413
LHARD34	4	1	0.132
LHARD35	4	2	0.407
LHARD35	4	3	0.463
LHARD35	4	1	0.129
LHARD36	4	2	0.361
LHARD36	4	3	0.489
LHARD36	4	1	0.15
MATT01	1	2	0.025
MATT01	1	3	0
MATT01	1	1	0.975
MATT02	1	2	0.0268
MATT02	1	3	0
MATT02	1	1	0.9732
MATT03	1	2	0.068
MATT03	1	3	0
MATT03	1	1	0.932
MATT04	1	2	0.036
MATT04	1	3	0
MATT04	1	1	0.964
MATT05	1	2	0.059
MATT05	1	3	0
MATT05	1	1	0.941
MATT06	1	2	0.04
MATT06	1	3	0
MATT06	1	1	0.96
MATT07	1	2	0.051
MATT07	1	3	0
MATT07	1	1	0.949
MATT08	1	2	0.0324
MATT08	1	3	0
MATT08	1	1	0.9676
MATT09	1	2	0.037
MATT09	1	3	0.001
MATT09	1	1	0.962
MATT10	1	2	0.034
MATT10	1	3	0
MATT10	1	1	0.966
Mill17	1	2	0.091
Mill17	1	3	0
Mill17	1	1	0.909
Mill18	1	2	0.054
Mill18	1	3	0
Mill18	1	1	0.946
Mill22	1	2	0.1006
Mill22	1	3	0.014
Mill22	1	1	0.885
NB07	1	2	0.042
NB07	1	3	0
NB07	1	1	0.958
NB11	1	2	0.0542
NB11	1	3	0
NB11	1	1	0.9456
NB12	1	2	0.036
NB12	1	3	0
NB12	1	1	0.964
NB13	1	2	0.031
NB13	1	3	0
NB13	1	1	0.969
NB19	1	2	0.033
NB19	1	3	0
NB19	1	1	0.967
NBM01	1	2	0.044
NBM01	1	3	0
NBM01	1	1	0.956
Otter12	1	2	0.067
Otter12	1	3	0
Otter12	1	1	0.933
Otter13	1	2	0.0534
Otter13	1	3	0
Otter13	1	1	0.9462
Otter16	1	2	0.0548
Otter16	1	3	0
Otter16	1	1	0.945
Otter17	1	2	0.053
Otter17	1	3	0
Otter17	1	1	0.947
Otter19	1	2	0.064
Otter19	1	3	0
Otter19	1	1	0.936
Otter21	1	2	0.051
Otter21	1	3	0
Otter21	1	1	0.949
Otter23	1	2	0.073
Otter23	1	3	0
Otter23	1	1	0.927
Otter4	1	2	0.0632
Otter4	1	3	0
Otter4	1	1	0.9362
Otter5	1	2	0.092
Otter5	1	3	0
Otter5	1	1	0.908
Otter6	1	2	0.066
Otter6	1	3	0
Otter6	1	1	0.934
REELF15612	1	2	0.119
REELF15612	1	3	0
REELF15612	1	1	0.881
REELF15732	1	2	0.115
REELF15732	1	3	0
REELF15732	1	1	0.885
REELF15745	1	2	0.118
REELF15745	1	3	0
REELF15745	1	1	0.882
REELF15775	1	2	0.1312
REELF15775	1	3	0
REELF15775	1	1	0.8688
RM09	4	2	0.388
RM09	4	3	0.3772
RM09	4	1	0.235
RM1	4	2	0.404
RM1	4	3	0.436
RM1	4	1	0.1596
RM11	4	2	0.3492
RM11	4	3	0.4678
RM11	4	1	0.183
RM12	4	2	0.356
RM12	4	3	0.4082
RM12	4	1	0.236
RM13	4	2	0.3526
RM13	4	3	0.522
RM13	4	1	0.126
SIPS09	2	2	0.957
SIPS09	2	3	0
SIPS09	2	1	0.043
SIPS110	2	2	0.819
SIPS110	2	3	0.069
SIPS110	2	1	0.112
SIPS114	2	2	0.949
SIPS114	2	3	0.014
SIPS114	2	1	0.037
SIPS13	2	2	0.96
SIPS13	2	3	0
SIPS13	2	1	0.04
SIPS14	2	2	0.962
SIPS14	2	3	0
SIPS14	2	1	0.038
SIPS18	2	2	0.969
SIPS18	2	3	0
SIPS18	2	1	0.031
SIPS20	2	2	0.986
SIPS20	2	3	0.014
SIPS20	2	1	0
SIPS26	2	2	0.982
SIPS26	2	3	0
SIPS26	2	1	0.018
SIPS27	2	2	0.946
SIPS27	2	3	0.005
SIPS27	2	1	0.049
SIPS32	2	2	0.979
SIPS32	2	3	0
SIPS32	2	1	0.021
Sipsey122	2	2	0.921
Sipsey122	2	3	0.052
Sipsey122	2	1	0.0272
Sipsey123	2	2	0.952
Sipsey123	2	3	0.027
Sipsey123	2	1	0.021
Sipsey124	2	2	0.9506
Sipsey124	2	3	0.015
Sipsey124	2	1	0.035
SL04	1	2	0
SL04	1	3	0
SL04	1	1	1
SL10	1	2	0
SL10	1	3	0
SL10	1	1	1
SL11	1	2	0
SL11	1	3	0
SL11	1	1	1
SL14	1	2	0
SL14	1	3	0
SL14	1	1	1
SL15	1	2	0
SL15	1	3	0
SL15	1	1	1
SL16	1	2	0
SL16	1	3	0
SL16	1	1	1
SL19	1	2	0
SL19	1	3	0
SL19	1	1	1
SL2	1	2	0
SL2	1	3	0
SL2	1	1	1
SL8	1	2	0
SL8	1	3	0
SL8	1	1	1
TN11851	2	2	1
TN11851	2	3	0
TN11851	2	1	0
TN11855	2	2	1
TN11855	2	3	0
TN11855	2	1	0
